"KENNUMMER,N,11,0","NO,N,19,5","NAME,C,254","LOCATION,C,254","LAT,N,19,5","LONG,N,19,5","DATEJMD,D","BARREL,N,19,5","IMPACT_REG,C,254","ORGANISMS,C,254","SOURCE,C,254"
1,1,Al Rawdatain,"Genoa, Italy","44,4","8,8",29.10.77,7350,"No shoreline impacts, Oil slick 2 miles between Cogoleto and Varazza",x,NOAA/ HMRAD
2,2,Alvenus,"Calcasieu River bar channel, 11 miles SE of Cameron, Louisiana, USA","29,58333","-93,25",30.07.84,65000,"movement westward, High Island, Bolivar Peninsula, 90% of Galveston's West Beach affected","Probably several dead crabs, rays, and fish",NOAA/ HMRAD
3,3,Amazon Venture,"Savannah River, Garden City, Georgia, USA","40,58333","-73,86667",04.12.86,11900,Approximately 25 miles of the Savannah River and its tributaries,Approx 36-48 oiled birds (mainly cormorants),NOAA/ HMRAD
4,4,Amerada Hess Oil Co.,"Port Alucroix, Limetree Bay, St Croix, U.S. Virgin Islands.","17,66667","-64,75",20.09.89,10000,waters of Limetree Bay shoreline,x,NOAA/ HMRAD
5,5,American Trader,"Huntington Beach, California, USA","33,63333","-118,01667",07.02.90,9458,Newport Pier,"1,017 oiled birds, 502 birds died (mainly Brown pelican and Snowy Plover), two Pacific white-sided dolphins died",NOAA/ HMRAD
6,6,Amoco Cadiz,"Brittany, France","48,58333","-4,71667",16.03.78,1619048,"Movement 100 miles east along the coast, Cotes de Nord","oyster beds and marshes, mollusks, sea urchins, approx 20,000 dead birds, fishes, echinoderm and small crustacean populations almost completely disappeared, but the populations of many species recovered within a year",NOAA/ HMRAD
7,7,"Apex 3417 Barge, Apex 3503 Barge","near buoy 58 in Galveston Bay, Texas","29,5","-94,86667",28.07.90,16476,"Movement to SSW and NE, eastern shoreline of Red Fish Island, Texas City Dike and the north side of Pelican Island and Galveston Bay.",fish kill of 200-300,NOAA/ HMRAD
8,8,Arabian Gulf/Kuwait,"Persian Gulf, Kuwait","29,5",48,19.01.91,9000000,400 miles of the western shoreline of the gulf  (most impact: between Safaniya and Abu Ali Island in Saudi Arabia),"estimated 20,000 birds died from oiling (among them Socotra Cormorant and Great Cormorant), thousands of dead crabs",NOAA/ HMRAD
9,9,Aragon,"Madeiran Archipelago, Portugal","33,56667","-15,56667",29.12.89,175000,"Portuguese Island of Porto Santo, rocky shores of the island of Madeira and the Desertas Islands",x,NOAA/ HMRAD
10,10,ARCO Anchorage,"Port Angeles Harbor, Port Angeles, Washington, USA","48,11667","-123,45",21.12.85,5690,"Port Angeles Harbor, movement to the east and west along the ten fathom contour",bird populations in the Dungeness Spit area,NOAA/ HMRAD
11,11,Argo Merchant,"29 miles southeast of Nantucket Island, Massachusetts, USA","41,03333","-69,45",15.12.76,183000,Movement to the south-southeast further offshore,"fish, shellfish, ichthyoplankton and zooplankton, Mortalities of Cod and Pollack, decline in the population of Sandlance, seabirds fouled with oil (mainly Gannets and Murres)",NOAA/ HMRAD
12,12,Arrow,"Nova Scotia, Canada","45,46667","-61,1",04.02.70,77000,"Chedabucto Bay, approx 300 kilometers of shoreline","deaths of an estimated 12,000 birds, known deaths of 1,500 ducks and seabirds",NOAA/ HMRAD
13,13,Ashland Petroleum Company,"Monongahela River, West Elizabeth, Pennsylvania","40,55",-80,02.01.88,23810,"Steubenville (Ohio), Wheeling (West Virginia), Sisterville (West Virginia)","one goose (oil spill fatality), fish mortalities in the hundreds",NOAA/ HMRAD
14,14,Assimi,Oman,"22,78333","62,86667",07.01.83,379000,no coastal pollution,x,NOAA/ HMRAD
15,15,Athenian Venture,"Canada, southeast of Cape Race, Newfoundland","42,5","-49,5",22.04.88,252429,x,x,NOAA/ HMRAD
16,16,Bahia Paraiso,"Palmer Station, Antarctica","-64,78333","-64,1",28.01.89,3774,Biscoe Bay and Arthur Harbor,"50 percent mortality rate among penguin chicks, thousand of other polar seabirds killed, several oiled seals",NOAA/ HMRAD
